Kelli & Darin D,,"Reviewed in the United States on September 9, 2019","I bought this to replace my aging Logitech G700s mouse. I'm a developer and PC gamer so the mouse has to work well for both. I much prefer the button placement on this one, however, I do have a couple of complaints.

The wheel seems to be a bit of a step down. Overall, the mouse is very light, and the new wheel design is as well. Unfortunately, the detents for the wheel in ""click"" mode are nearly two to three times as strong as the G700s. I guess this is good for gaming where you need positive feedback of each wheel motion, but it's extremely jarring in everyday use. The amount of force required to move the wheel overcomes the lightness of the mouse resulting in mouse movements while trying to scroll. It's bad enough that I always switch back to free spin outside of games and even in games when accessing menus, reading screens, etc. I never had to do this with my G700s.

Second, the mouse is way too light for me. It's had to hold stationary for detailed work and requires that I ramp down the DPI quite often to help steady it. The mouse comes with interchangeable weights but these is a gotcha with this. If you use the mouse in conjunction with the Powerplay wireless charging pad, the wireless charging unit doesn't have spaces for the weights. They don't mention this anywhere, but it precludes you from installing the two largest weights that would normally go in the battery cover. I think the mouse would be fine for me if I could use those weights. This is a HUGE design oversight on Logitech's part.

Third, Logitech's G-Hub software is buggy and a major downgrade from the previous Gaming Software. Settings are frequently lost, particularly with the RGB sync between the pad and the mouse. There are times where G-Hub will stop recognizing the devices requiring a reboot. Logitech has never been known for quality software (Harmony, Gaming Software, drivers, etc.) but G-Hub is spectacularly bad.

Overall, I'm really pleased with it other than the above and coupled with the Powerplay pad, it's a fantastic addition to my system."
Ben N,,"Reviewed in the United States on March 3, 2024","Purchased this as a gift for one of our sons.
He said it works extremely well."
Cameron,,"Reviewed in the United States on December 7, 2023",Originally did not to pay so much for a mouse as I don’t really game but need a mouse what will last. With it being rechargeable it’s already 1 upped my old mouse that takes AA batteries. So I pulled the trigger and boy was I surprised if your on the fence about this mouse it’s definitely you get what you paid for type of thing
Adam S.,,"Reviewed in the United States on November 22, 2023",This mouse is awesome in most regards. some games dont recognize the extra buttons but that's okay ill live without them but the one thing I really dont like is how loud the scrolling wheel is. I find myself unlocking the wheel just to avoid the sound but then if i move the mouse at all the page scrolls freely. I'm sure eventually i'll get used to it but i dont know. It is really loud.
strawberrydm,,"Reviewed in the United States on March 1, 2024",This was a gift for my teen. He is happy and that is what it matters
Isaac,,"Reviewed in the United States on July 19, 2023","I previously used the wired G502 for gaming, and i decided to upgrade to this one, I liked the feel of the G502 so i picked this over the Superlight. the battery is good and the adjustable weights are a nice addition( I don't use any but the option is nice). The mouse(without weights) is still somehow lighter than the wired g502(also without weights), 10/10 would recommend if you like the feeling of the G502, if you are looking for as light as possible maybe look elsewhere, its not that light, but its also not heavier than the wired 502.

The biggest issue for me is that the scroll wheel feels different than the wired g502, not worse, but i wasn't expecting this change when buying. When i first used the wireless, i immediately noticed that it felt different than the wired g502."
Kevin Conley,,"Reviewed in the United States on November 22, 2023","I have this mouse for gaming obviously but I also use it for work. Since it can work with Lightning, Bluetooth, or directly attached via USB, it would INCREDIBLE if I could use a button like G9 to switch from Lightning to Bluetooth. I have the G915 keyboard and it has buttons to go from lightning to Bluetooth. I'd love to have that same functionality. I'd even replace this G502 for it!"
Pam Narvaez,,"Reviewed in the United States on March 5, 2024",This works well
Pedro A.,,"Reviewed in the United States on November 30, 2023","Lo uso para jugar y trabajar, la rueda infinita me ayuda mucho a desplazarme por grandes cantidades de lineas de codigo y sobre todo es muy preciso, un poco pesado pero si lo combinas en una almohadilla rígida será mucho mejor, la batería me puede durar 10 dias si le desactivo el rgb, pero si quieres tener batería ilimitada te recomiendo usar la powerplay que es genial y nunca tendrás que volver a cargarlo"
Nizel A.,,"Reviewed in the United States on June 9, 2019","I was worried after experiencing the G Pro Wireless' double clicking, but so far after using the G502 for a few weeks I've not experienced the double clicking at all. I have run into another issue where the G502 misreads the battery and always displayed ""low battery."" This happened the entire first week so I let the battery fully die (so the battery's internal clock would ""reset"") and haven't had that issue since.

Manufacturer's packing is great. It comes with a premium braided USB cable, wireless receiver, and an hard shell case that holds the weights. I love the design of this mouse over the G Pro Wireless especially since I have big hands as well as use ""claw"" style so having a slightly bigger mouse that my hands can wrap around feels better. Since it is heavier it does move noticeably slower across surfaces than lighter mouses.

The 16K DPI Hero sensor is just superb and the extra battery life is tremendous. It can even be used on glass surfaces with no tracking issues. It even has a button for a scroll wheel mode (continuous scroll or standard click step up.) There is also textured grips on the side. My only gripes are that for the price it could use a bit more RGB and the 2 middle buttons are flimsy. The small G logos and battery indicator only lighting up is kind of disappointing. The G Hub software allows you to map any command to any button. There's a database of hundreds of commands to choose from including basic windows commands like copy/paste.

Overall, I would definitely recommend this mouse. Performance and ergonomic wise it doesn't get much better than this. The 5 minute charge giving it 2.5 hours is not only amazing, but a lifesaver for those that frequently forget to charge their mouse! If you're thinking about cutting the cord and getting rid of your wired mouse this would be the perfect replacement. Hopefully a revised G903 is coming down the pipeline as well."
Rodrigo Gonzalez,,"Reviewed in the United States on January 15, 2024",G502 is a classic but the wireless version is well worth an upgrade if possible. This beast holds so much battery that I see myself only charging it once a week with daily usage
Create With Cam,,"Reviewed in the United States on February 22, 2023","I know, I know. The G502 has been out for quite some time already but is still one of the highest-rated gaming and productivity mice out there. But it would have been if Logitech had at least updated it to the modern USB-C standard. Having to use a Micro-USB when everything else on my desk runs or charges off of C is a bit of a letdown. But that's my only gripe.
The mouse itself feels great in my hand. Logitech has always been the leader when it comes to ergonomics, even with my larger hands. The buttons never feel too far away. The ""clicks"" are satisfying and the scroll is very smooth. I did all the included weights because the mouse was just way too lightweight for my liking, but was perfect after.
The software I think could do with a little refinement but isn't too difficult to figure out.
Overall I'm very happy with it and think it's a great value."
M. Feher,,"Reviewed in the United States on June 22, 2023","I use this mouse daily, anywhere from 8 to 10 hours a day, five days a week. I’m a draftsman for a civil engineering firm and I would say this is the best mouse I’ve ever owned. It holds up, on battery, for ten hours of continuous use without a stutter or hiccup. Buttons are firm but gentle, tracking is unbeatable and the battery life is enough to get me through each day without a midday too-off. The programmable buttons are sweet too, although I don’t use them as much as I had planned. If you’re looking for a solid wireless with what feels like zero lag, good battery life and quality construction, you probably won’t find anything better for the money."
Itzik Samara,,"Reviewed in the United States on January 21, 2024",Bought this mouse as a gift for my gamer uncle cause i had this one b4. this mouse has amazing features with the included software.
Amazon Customer,,"Reviewed in the United States on February 25, 2024",Been two years and it still serves me well.
glonzo16,,"Reviewed in the United States on December 2, 2023","I have a wired g502 on my personal computer bought this one for my work laptop. Works just as good as the wired version. Mouse goes to sleep pretty quickly when not in use so battery last a long time. They cheaped out a little on the scroll wheel, if you move the mouse around with the wheel unlocked it moves"
Polar Bear,,"Reviewed in the United States on November 26, 2023","I had the previous wired version. This is perfect upgrade for me as I try to declutter my desk. The mouse feels exactly the same as the previous wired version which is good as I liked the ergonomics of my old one. There's some small upgrades. The buttons feels slightly better, the added button label on the buttons etc. Very happy with the product."
Average E-commerce User,,"Reviewed in the United States on December 28, 2023","The buttons have great quality and good distribution; you can use them for office performance and gaming stuff as well. If you use the RGB lights, the battery duration decreases. Regarding the application, it is very intuitive and easy to configure."
Joshua S.,,"Reviewed in the United States on June 17, 2019","I gotta say, this is just about the most brilliant mouse I've ever used. The wireless response time is astonishing. And it keeps its 1ms response time all the way up to 8 ft. (from what I tested at least - not to mention that it reaches all the way across your average large living room). I like how you can plug the Wi-Fi dongle onto the end of the USB cord to extend it to wherever the cord reaches to. The micro USB to USB cord used for charging it is very durable and extensive. Plus, it also let's you use the mouse in wired mode while charging. Apparently the mouse works with their wireless charging mouse pad, but I haven't bothered to get one, so I can't reassure that. The DPI adjustment is perfectly gradient allowing me to adjust the movement speed to a comfortable level on basically any surface (just don't try and use it on a blanket, it doesn't work...). I like the barring lock to the scroll wheel letting change the scroll functionality so I can flick the wheel and use it in smooth scrolling. Plus, the battery monitor built in is nice. The navigation buttons are an added bonus as well. I highly recommend for even professional graphic artists, as I myself use this mouse for graphic art and it's PERFECT for it. Apart from the custom lighting built in to the mouse, there is this awesome button for slowing the mouse down to a high-precision mode allowing me to easily make high density vertex edits on 3D graphic design (or for you to do whatever you wanna do with a slow mouse). Then my last fascination is the mini weights they give you so you can weigh down your mouse (which is a feature I actually quite adore). So... Yeah. Fantastic mouse. It's pretty cheap in price considering the features and whatnot. I recommend this mouse over all others."
Sandra Sesko,,"Reviewed in the United States on July 23, 2023","This amazing mouse from Logitech, which is perfect for my gaming laptop and it actually performed very well while playing games you can shift between your DPI smoothly and flawlessly, which is amazing. And very needed when playing certain different type of games when I need to go from fast DPI to slow DPI Also, the quality of the mouse feels very good and there is no cheap feeling. It feels very solid. It also comes with some weights if you would like a heavier set mouse, which is amazing future I really like that about this mouse."
Scott Delaney,,"Reviewed in the United States on August 31, 2021","I got this primarily for work. I do a lot of data mining and data entry, so I copy/paste and use my browser a lot. I'd been using the wired version for a long time and wanted to upgrade to something easier to carry around since I walk around a lot at work as well. This has the classic ""infinity scroll"" button that's satisfying to use and makes scrolling quick and easy, and if you pair it with the desktop app you can customize pretty much everything about the way it functions. I have buttons set to work as copy and paste, back and forward browser buttons, and a control alt delete shortcut button for when excel gets too spicy for my bottom-tier office laptop and it locks up. I do also occasionally use this for gaming and it works very well, but I primarily bought it for office use and it's made life much easier for me. Battery life is solid too, I get about a month of use at 12 hours a day out of it, and when I do need to charge it I can still use it while it's plugged in (though full charging only takes an hour or so even if you're using it at the same time). Highly recommend for anyone whose work life would improve with shortcut buttons."
ROBERT B MEDINA-RADESCO,,"Reviewed in the United States on February 1, 2024",After loosing it. The replacement was great
Nikoloz Nadiradze,,"Reviewed in the United States on November 29, 2020","This one is wireless version of legendary G502 Hero with upgraded sensor (25K vs 16K).... design, size etc remains the same... charging port is located to the same point where wired version has cable connected to the mouse body, so you can connect to PC via charging port and use as regular wired mouse... in this case you don't need USB wireless receiver.
I liked the idea of supplying additional ""path through"" adapter, which connects to miniUSB charging cable and accepts wireless USB adapter, so you can connect supplied mini USB charging cable to computer and connect wireless receiver to that cable instead for reaching PC case each time... or, you can keep Wireless USB receiver connected to laptop and work with laptop in wireless mode and connect to desktop via cable and use it as wired mouse....
this one I've ordered as gift for my friend... and not for games, just Logitech G HUB gives great custom profile settings for extra button function macros assignment and in pair with G910 keyboard instead of game profiles, created custom profile for Adobe Lightroom (couple macros assigned to G502 mouse buttons and custom colors set for specific keys on keyboard.... works great.....
I liked dual mode option (actually you can have third mode when using mouse in wireless mode and charging it from wireless mousepad :) as well as great ergonomics (which includes weight balancing), so thinking of getting one for me as well, regardless fact, that usually I'm using trackballs :)"
A. E. Bogdan,,"Reviewed in the United States on February 14, 2020","I was worried, spending so much for a mouse, that it wouldn't be that much better than my old G602 wireless, but the difference in responsiveness is impressive. Gaming is much more fun having it react so quickly and smoothly. Total win.

I personally lock down the speed of the mouse in the software while playing games, as with this one and my old mouse I would accidentally hit those speed shift buttons on top. Having only three extra buttons on the side is fine. Having 6 on the G602 ended up being overkill for me.

The heavy notch of the wheel doesn't bother me.

The G602 had some heft to it, and I thought I liked that weight until I started using this one. I even decided to leave the weights out. Its effortless to use in comparison.

I was also concerned I wouldn't like the ergonomics as much, as I really liked the feel of the G602. At first it did feel weird, but after a day of adjusting it just felt natural. As soon as I speed thinking about how it felt different and just started using it the mouse felt great to use.

I really liked rarely having too change batteries in the G602. I've owned this for only a week and have not had to charge it a second time yet. I'll post back if I find the more frequent recharge an issue, but yet so far it's been fine. Plus, it's nice knowing I can use the wireless charging pad in the future and never have to charge or change batteries.

So, yet so far I'm very happy with this replacement gaming mouse."
Alex Gonzalez,,"Reviewed in the United States on December 22, 2022","This mouse is amazing, has some different features than the wired one though that you will have you get used to. I used max weight on my wired mouse and it felt good, but the wireless mouse is actually much heavier than the wired due to the battery in the mouse. Once you get used to it, it'll feel like the wired one. There also is a weird button next to where your thumb goes, if you press it, it lowers your dpi by a huge amount(Supposed to be used for gaming if you want to be more precise with your aim). You can change the dpi in the logitech application. I tried turning off the use of the button, but somehow it won't turn off, but I might be doing something wrong, I don't know. Anyways, if you want a heavy duty, big mouse that feels good in the hands, then I highly recommend thing one."
Zmill1,,"Reviewed in the United States on March 29, 2022","6MO Update: still loving it, no problems yet.

Was hesitant with the Omron switch scandle but took the risk since all my other Logitech mice and keyboards have been 5/5 and their reputation for Customer Service + RMA is great. Using this mostly for productivity but some gaming as well. Using it mostly wired but wireless works well too - I don't notice any latency.

Great for anyone looking for a productivity mouse with free scroll + notched scroll with change button on top, horizontal click on the scroll wheel, ergonomic thumb rest, and if you'd use it the G Hub customization for all the extra buttons it is well done. Sensor is great - overkill dpi but loving it on my 1440p 27"" + laptop 2-screen setup. Sharp movement, good minimum lift height. Very, very happy I got this over an MX 3 or top-tier Basilisk.

*It might be uncomfortable if you have very small hands. The sniper button and thumb access buttons are all still too far forward for easy, regular human use lol."
Noé Arturo Esqueda Linarez,,"Reviewed in the United States on July 13, 2023","Desde siempre solo he usado mouse normales de oficina tanto en la escuela o trabajo y este es mi primer mouse tanto inalámbrico como gamer y estoy muy satisfecho con la compra la batería hasta ahorita no la he cargado dura bastante, el paquete llego un día antes con la caja un poco golpeada de una esquina pero el mouse en perfectas condiciones, yo soy zurdo y tenia mis dudas sobre lo cómodo que sería usarlo por un largo periodo y he de decir que es bastante cómodo lo recomiendo vale mucho la pena."
Sheila Plourde,,"Reviewed in the United States on November 17, 2020",Just got this today. I love this mouse. Is smooth and I can start playing games. Set up real nice and I love the colors as it blinks different colors. This arrived fast. Is why I love ordering from Amazon. Guess I can continue with the review. Logitech doesn't stand behind their product. It is not up to Amazon as they sell Logitech products. After a few days my G502 will not let me configure my mouse. My keyboard is a K350 Logitech. I wrote to Logitech and waited a few days for their reply. The lady had the wrong model no for my Logitech keyboard. They say you can have multiple devices up to 8 or 10 on same unifier. You read on other sites they say differently. You have to use the G Hub and unifier. My husband and I have been Logitech for years. Won't buy anything else. They do not stand by their products and use the Covid-19 as an excuse to take hours and days to help you. This is getting old. Maybe it is defective but if I send this back I do not have a mouse and I am on the computer a lot. As for performance I do love it but I cannot configure the mouse buttons. What the lady told me to do I did it. Didn't do anything.
Taylor,,"Reviewed in the United States on October 8, 2023","I bought the first one a while ago and only replaced it because the battery started dying quicker. And considering I use it for both work and gaming, it made sense for me to replace it instead of deal with the cord (I have cats who love to play with it so a cord isn’t ideal). This mouse is comfortable, great response time, and has the perfect amount of buttons for what I need. Can’t recommend it enough."
George Vina,,"Reviewed in the United States on April 5, 2020","I have been a fan of Logitech computer accessories for years now and yet another product I buy that hasn't disappointed. The mouse I had prior to this was the Logitech G602 which was an absolute beast of a gaming mouse. It still works great to this day and is probably 4 years old now. I thought it was time for change and seeing it was the last of my computer accessories I hadn't upgraded I caved and bought a new mouse. The styling is modern and slick, the RGB is a nice touch and if you have other Logitech products and use the G Hub you can customize and synchronize the RGB across all your devices. With the G Hub you can also remap all the buttons on the mouse and even set buttons for specific games. The first thing I noticed when I took the mouse out of the box is that it felt very light but thankfully Logitech includes weights so you can set the mouse have the exact weight you want, I ended up putting all the weights in because it feels like it now weighs the same as my old G602 mouse. I cant comment on battery life now since its only been a week but seeing that its rechargeable and has an indicator on the left side, it will also glow red when its at 15% battery by default, so I don't foresee any issues with battery life. The ergonomics are great and feels like its the right size for a mouse. All in all so far I'm loving the mouse and definitely recommend it as a buy!"
Adam,,"Reviewed in the United States on August 12, 2023","Loved this mouse, bought it in 2020...died today in mid 2023. Admittedly I used it a LOT but given it was $200 at time of purchase I'm a big bummed it didn't last longer. Worked fine until 2 weeks ago when the battery life took a huge nosedive. When I got home today it just straight up won't power on, seems the battery is kaput.

Bought the new version in white with RGB...guess that says a lot for overall quality."
Lance,,"Reviewed in the United States on October 19, 2021","As an unfortunate victim of two Razer mice (Razer Naga Trinity Gaming, Razer Deathadder) that had the MOUSE1 button (primary click) start double-clicking after than less a year each, I moved over to the wired Logitech G500. The G500 lasted about 2 years, which for the pricepoint, was fantastic to me compared to the 1 year lifespan of the pricier Razer mice that broke.

So, I got this mouse, the G502, since the Logitech 500 lifespan forced me out of Razer. So far the G502 has treated me really well with its functionality. The mouse software, G HUB, lets you set almost any Windows shortcuts per buttons, such as having 'Copy' (Ctrl + C) on your MOUSE4, and 'Paste' on your MOUSE5. Has good functionality across apps too, like Discord, where you can mute yourself at anytime with a button click.

For gaming it feels smooth, with adjustable DPI settings also at a button click (by default). I don't use the mouse weights at all just because... I don't really see the point for myself.

***Will update this review when the mice breaks, to give a good idea of its relative lifespan. Hopefully >2 years :)"
Joshua k.,,"Reviewed in the United States on December 19, 2023",Its a great mouse! I didn't know what I was missing before I upgraded and now I can never go back to using cheap mice. Get it.
aaron bryant,,"Reviewed in the United States on November 28, 2023",I've had this for over 2 years for my laptop that I travel with daily.. I'd say I use it 30+ hrs a week sometimes up to 60hr a week and it's still amazing. Well worth the money
Danny Woodcock,,"Reviewed in the United States on April 19, 2022","This is my 2nd g502 light speed and my 3rd g502!! They all still work and the original wired version I purchased nearly a decade ago! My first light speed that I have was starting to have a bit of trouble on the right click (after thousands of hours of use) so I decided to buy a new one and keep this one as a spare in sticky situations. The battery lasts for roughly 30-40 hours of gameplay which last a month or so between charges and I’ve never once had it die on me, 24% is as low as it’s been… The mouse is crazy fast, I can’t tell a difference between wired and wireless response time and I’m an avid FPS gamer. The ergonomics are impeccable meaning this mouse never feels uncomfortable in my hand and I have large hands as I’m 6’4”. Free yourself of cord snags and get one of these mice today, it feels so smooth and free when you use it."
Ryan H,,"Reviewed in the United States on July 21, 2023","I like the mouse, has a nice weight to it. Loud click. But the instructions that come with it, are just super basic pics, with no words. I know how to plug a mouse in to the computer, but I've never had a mouse that comes with weights (it comes with weights and a cool little case for them, btw), I've figured out where to put the little weights in, but not the larger ones."
DoorDash Man,,"Reviewed in the United States on October 16, 2023","This mouse has so many features, wont list here. Comfort is great, ease of use is super. The only grip might be battery life, if gaming is NOT wonderful. If gaming Id suggest using in WIRED mode! Also would like to seen USB C charging, not micro usb. However you cant find a better mouse for the money in 2023, thats this solid built."
Nothing but the honest truth,,"Reviewed in the United States on June 4, 2022","Ergonomics: this is an excellent mouse to do anything you want it is not
just for gaming, the ergonomics are great for medium or small hands It
is very comfortable mouse to use it is not wide and bulky and does not
make your hands tired or feeling pain after using it for several hours.
It is very responsive and fast.

Battery: I had this produce since
May 12, 2021, and the battery last me for three weeks doing school and
work having the DPI lights off.

Comments: My only concern was with the spinning wheels light;
there is not RGB; for the high price I paid for it when it came out; I
think will be a good thing if Logitech added RBG lights in the spinning
wheel. I will strongly recommend it, you will not regret it ;-} like I
have not, and I am very picky about anything I buy."
john stiger,,"Reviewed in the United States on June 15, 2023","I bought this mouse to replace a Razor Mamba which was the worst mouse I've ever used.
The difference in quality is insane. I went from a mouse that was unusable on mac, and poorly performant on Windows, to a mouse that couldn't perform better.
The customizable weights, the scroll wheel, the position, and function of the buttons, are all perfect.
It sits next to, and holds it's own with a Swiftpoint Z gaming mouse that cost more than twice as much.
I couldn't be happier with this purchase."
Antonio,,"Reviewed in the United States on January 3, 2023","The Logitech G502 Lightspeed Wireless Gaming Mouse with Hero sensor is an excellent choice for gamers who want a high-performance mouse with wireless connectivity. The Hero sensor delivers exceptional accuracy and precision, making it a great choice for first-person shooter games and other fast-paced genres. The wireless connectivity is also top-notch, with a range of up to 60 feet and a lightning-fast 1ms report rate.

One of the standout features of the G502 is its customizable weights, which allow you to fine-tune the feel of the mouse to your preference. The mouse also has 11 programmable buttons, including a scroll wheel that can switch between hyper-fast and ratcheted scrolling.

Overall, the Logitech G502 Lightspeed is a top-of-the-line gaming mouse that delivers on both performance and wireless connectivity. It's well worth the investment for serious gamers."
Matt,,"Reviewed in the United States on May 19, 2022","I've only had this mouse for about a month, but I really like it. I'm a guy who gets really frustrated you can feel the delay between moving a mouse and seeing it move on the screen. With this, it seems instant. I like a mouse with a bit of weight, so I added all of them. Also looks cool and feels solid.

No batteries to replace either - just plug it in every few days to ensure it's charged. G-Suite software is easy enough to configure to tweak the purpose of the buttons. I think you can do it at the game/app level too, but I haven't messed with that.

Only gripe is that you have to use Logitech's proprietary wireless charger. I've got a number of wireless chargers I wish I could use, but to no avail. Maybe one day someone will reverse engineer it and we can make a DIY one or something."
hansmuff,,"Reviewed in the United States on October 14, 2020","I have used a lot of PC peripherals, and mice, in my geek life.
This one is just stunning to me. I can't find a single issue with it.

Here is what I like:
- Ultra-fast response, there is zero difference to a wired mouse
- Fantastic shape, fits my hands really well and I can reach all the buttons without strain or moving the mouse
- The number of buttons is fantastic, and the software to program them works well
- Weight is good, I don't like heavy mice for gaming. This is no MX Master (awesome for work, terrible for games)
- The ""snipe"" button that sets the DPI to a custom (NOT a fixed) value is WONDERFUL in games

Here's what I don't like:
-----

I can't find any fault with this mouse. The price is steep, but you get a super high performance product, not something that's just OK with one great feature. No, this thing is perfect, at least to me.

I didn't receive this mouse for free, and this isn't a paid review. I paid full retail price out of pocket, and I don't regret it. I think that if you don't mind the price, you will not find any better, unless the shape doesn't fit your hands, that's always a possibility."
R. Allen,,"Reviewed in the United States on March 26, 2023","My mouse started being jumpy, and I decided it was time for a new one. After looking at the choices, since I always stick with Logitech, I decided on the G502. It isn't a cheap option, but it has a nice feel. I added a couple of the included weights and adjusted the dpi on it. It is working great. It has RGB that cycle through colors, if you like that sort of thing. I can take it or leave it. It is wireless and has a rechargeable battery and it can be used while charging, so no down time. It is a nice gaming mouse."
Spenser Davis,,"Reviewed in the United States on February 23, 2022",So I've been researching and getting different mice. My fav before this was the Corsair dark core wireless and this BLOWS it out the water. It's a little chunkier but I have fat hands. Hyper scroll ? No idea what it could even be used for. If it's on my pages go up and down without touching it. Software is best and easiest software I have used. Very light compared to the others feels like air. Comes with 2 4g weights and 4 2g weights. I put one 2g on each side and it feels magical. Will 100% be looking at more Logitech stuff. Downside is the mouse isn't white. I want a white one. Rgb hardly. I always say more rgb=higher k/d . Not with this my accuracy is better than ever. 10/10 recommend. The only thing I see future wise causing issues is scroll wheel has 3 clicks and within a week they feel slightly loose . Thank you for coming to my ted talk.
Bob Billy,,"Reviewed in the United States on January 2, 2024","Mouse is fantastic, but I still suck at Counter Strike."
Juan Moran,,"Reviewed in the United States on January 8, 2024",Works great and good quality
Joaquin,,"Reviewed in the United States on February 3, 2024",
Steaphon DeWEESE,,"Reviewed in the United States on December 25, 2023",Just right for my oversized hands. Ease of control
Amazon Customer,,"Reviewed in the United States on December 31, 2023",Fast gaming and easy to setup.
Parker,,"Reviewed in the United States on August 21, 2023",I originally got the larger Logitech with 6 thumb buttons but it was just too heavy to feel nice. I tried this one and it's perfect for faster paced gaming while still having 3 thumb buttons. I did not expect to love the extra index finger button but I really do.
Username,Rating,Date,Comment
C. Conner,,"Reviewed in the United States on April 2, 2020","First, if your here to see if this Special Edition version also has the 16k Hero sensor, yes it does.

Allot of reviewers either praised this mouse for working well with their long fingers or being great for palm grip so I was worried at first that this mouse might make my hand hurt, (I've worked in a call center for almost 16 years and did allot of carpentry before that so I have carpal tunnel and arthritis too). I'm happy to say that as a claw user with shorter fingers there have been zero issues or pain from this mouse, (though when using the side thumb button I do have to reach a bit, but I like it this way as I can't accidentally hit it). If anything this mouse has tricked my hand into relaxing more into something closer to palm grip, (which is likely why it's more comfortable than my old mouse). The other buttons are very easy to get to and have a nice firm click. If you own any other Logitech products this has the same braided cable as their other gaming gear, it's strong with plenty of length and has a Velcro tie built in to make cable management a breeze. If you've never used a mouse with one of these 16K Hero sensors your gonna be blown away, so pinpoint accurate and lightning fast. The variable weight system is great with allot of options to chose from. I have a bad habit of picking up my mouse and moving it from years of using low DPI mouses so I have it heavy on the front and rear. This along with the super fast sensor are slowly helping me break that habit. Running the software in default makes the thumb button drop the DPI from whatever you have it set to, (top buttons left click side adjust DPI) to the slowest for pinpoint movement making it great for those doing video, audio, or Photoshop work.

TLDR:
Overall this is just a great quality bang for your buck mouse that can wear many hats and please almost anyone."
Jacob,,"Reviewed in the United States on July 9, 2020","UPDATE 2024/03/26: For maybe the past few months I've been experiencing degraded performance of the left-click button. Specifically, when I try to highlight text (click and drag) the selection often changes like I quickly released and re-clicked even though I have the button depressed the whole time. I am a pretty casual mouse user, I don't do left-click-intensive activities at all, so this is kind of disappointing. Maybe I can open it up and clean it to fix the problem myself. I really like the mouse, so I'd be disappointed if it became usable for this reason.

UPDATE 2021/03/18: I actually downloaded the G hub software and did a bit of customization. I disabled the left scroll wheel button, since I accidentally hit it so often when trying to middle click. I also increased DPI a bit (max is >25000 now?!) and set the DPI shift button so I can easily switch to a less sensitive DPI for accurately drawing pixel art or adjusting volume. Very nice features.

This mouse hasn't had any paint wear/peeling issues like my last (cheap) one. Despite the scroll wheel not being rubber, I think it feels just fine. I haven't used any weights, and I don't really know why I would. I use a palm-ish grip, and I have a medium size hand.

Since getting this mouse, I've switched from a ""normal"" DPI to max, and it is so nice being able to navigate my computer with fine movements. I can move my cursor across all three of my monitors by rotating my hand ~1.5 inches.

My only complaint is that the left button seems to be a bit sensitive. Maybe it's the way I hold the mouse, but in a 2D scrolling environment, it's easy to accidentally hit the left scroll button when holding down the wheel. I have to make a concerted effort to ensure that I am pressing the wheel straight down. It would also be nice if the DPI button was harder to press just so I don't hit it by accident, but that is very rare anyways.

When I bought this, it was on sale for $37. For that value, this mouse is 5 stars (so far). If I had spent ~$55 or more, this would be 4 stars. Overall a great mouse."
Inko,,"Reviewed in the United States on February 19, 2021","Overall I really like this product and think it is built nicely with quality plastics. It is a comfortable size and has a nice feel to it when holding it. My old mouse was much slimmer and annoying to hold unlike the g502 which when playing games or just in general doing work for prologned amounts of time definitely is a more comfortable hold. The thumb rest is really nice, i was worried because most of the review videos i watched were people with bigger hands so I thought maybe it wasn't going to sit right with me but it ended up being very nice and i really like it.

The program (Logitech G Hub) is very nice and runs smoothly. The lighting is very easy to change and you can basically custom make any color you want for the logo and primary lighting. It also has a bunch of preset affects for the lighting aswell. The dpi is very easy to set depending on what you want to set it as and also what other dpi's you want to set without having to open the program instead just clicking a button on the mouse right next to the primary clicker. The programable buttons themselves are very nice and easy to set. I don't really set all of them only 2 the rest are set to the default.

All in all I recommend this mouse to everyone and anyone who wants to upgrade from their current mouse."
Amazon Customer,,"Reviewed in the United States on October 16, 2020","This is my favorite mouse that I've ever owned. I play a lot of FPS games. I like the fact that you can program the side buttons to whatever you want, including multiple key presses. The build quality is great, it's a Logitech they always get this right for me. The feel of this mouse in my hand is perfect for me. I dont have very big hands, so I dont have issues with grip at all. It comes with weights that you can put in to make the mouse heavier if you like it that way. Ths lights are nice, you can change the color, the way it shines, and if you want have no lights at all. I have another G502 that is all black. The special edition has white accents. It's not overly done, and it looks very nice in hand. The wheel can be unlocked and free spun. I mainly do that for entertainment. The braided cord is very nice, long enough to reach a good distance. You can install software that controls DPI, profiles for different games or programs.

Pros: Great for gaming, quality of material is superb, the accuracy of the laser is second to none, programmable buttons, and profiles, RGB lighting effect that can be changed. Comfortable for extended gaming sessions.

Cons: Have to install software to get all the functions, the new software tries to detect what game or program you are using and switch profiles for you, sometimes gets it wrong."
ppoppo,,"Reviewed in the United States on May 1, 2024",i buy for my 2kid and they love it and enjoy playing game with it good fit they hand
Name,,"Reviewed in the United States on February 12, 2020","EDIT 10/13/2021: About a year ago this mouse started double clicking and I replaced it with a basic Microsoft ergonomic mouse that hasn't suffered the same problem. The mouse didn't even last a year. Logitech clearly cheaped out on the switches.

My first G502 was the old one that didn't even have RGB, and cost $80 from Walmart. It lasted me about 3 years, before the left click would behave strangely. When I was clicking and dragging, it would just stop dragging all of a sudden, while I was still holding down the mouse. I'm not sure of whether or not this was a normal problem, or if it was a result of me literally breaking off the plastic for the left mouse button and super-gluing it back on, but it was enough of a reason for me to buy the new model nonetheless. If you don't manage to snag the mouse button on something and break it off, this thing should last you a long while."
Ian,,"Reviewed in the United States on May 21, 2024","Works as well as the old Proteus it replaced, same feel. Glad to have it"
